hs_id,face_analysis,hair_analysis,score,definition
HS01,ovale,straight,2,Doğal bir akış sağlar ancak düz saç yapısında hacmi korumak için ekstra bakım isteyebilir.
HS02,ovale,straight,3,Oval yüzün dengeli yapısını dikey bir hacimle destekleyerek daha enerjik bir görünüm sunar.
HS03,ovale,straight,1,Yüz hatlarını tamamen açıkta bırakır; eğer kusursuz kafa yapısına güvenmiyorsan riskli olabilir.
HS04,ovale,straight,1,Statik bir modeldir; oval yüzün sahip olduğu doğal dinamizmi tam olarak yansıtmayabilir.
HS05,ovale,straight,3,Her zaman şık ve garantici bir seçim. Düz saçın nizamını profesyonel bir duruşla birleştirir.
HS06,ovale,straight,2,Ne çok iddialı ne de silik; dengeli bir geçiş arayanlar için güvenli liman.
HS07,ovale,straight,4,"Yanlardaki keskin geçiş ve üstteki düz kütle, ideal yüz şeklinle mükemmel bir kontrast yaratır."
HS08,ovale,straight,2,Pratik ve erkeksi bir modeldir ancak oval yüzde biraz sıradan bir etki bırakabilir.
HS09,ovale,straight,0,"Bu model yoğun bukle gerektirir, düz saç yapısıyla uygulanması teknik olarak mümkün değildir."
HS10,ovale,straight,0,Saç yapın düz olduğu için bu kıvırcık dokuyu yakalaman imkansızdır.
HS11,ovale,straight,0,Düz saçta bu hacimli bukleler oluşmayacağı için önerilmez.
HS12,ovale,straight,2,90’ların ikonik tarzı; ancak düz saçta ayrım çizgisinin sönük kalmaması için hacim desteği şart.
HS13,ovale,straight,3,Bakışları tepe noktasına toplar ve yüzünün simetrik güzelliğini modern bir tavırla vurgular.
HS14,ovale,straight,3,"Alın hattındaki küt bitiş, düz saçın sertliğini modern ve tarz sahibi bir dengeye oturtur."
HS15,ovale,straight,2,Alnı kapatmak isteyenler için iyi bir seçenek ama düz saçta sönükleşip gözlerini kapatabilir.
HS16,ovale,straight,1,Estetikten ziyade disiplin odaklı bir askeri kesimdir; yüz hatlarını sertleştirebilir.
HS17,ovale,straight,3,Hem sportif hem klasik; oval yüzün temiz hatlarını ön plana çıkaran elit bir tercihtir.
HS18,ovale,straight,1,"Saçın ağırlığı düz yapıda hacmi söndürebilir, bu da yüzünü olduğundan yorgun gösterebilir."
HS19,ovale,straight,1,"Karakteristik etkisi oldukça düşük, fazla geleneksel ve sıradan bir bitiş sağlar."
HS20,ovale,straight,1,Oval yüzün ideal oranlarını dikeyde fazla esneterek yüzü gereğinden uzun gösterebilir.
HS21,ovale,straight,2,Dağınık stil düz saçta bazen tarzdan ziyade bakımsız bir görüntüye yol açabilir.
HS22,ovale,straight,2,Modern bir geçiş sunar ancak yüzünde özel bir karakter yaratma potansiyeli sınırlıdır.
HS23,ovale,straight,1,"Oval yüzün estetik avantajlarını kullanamayan, oldukça kaba ve düz bir kesimdir."
HS24,ovale,straight,2,Dikkat çekici ve aykırı; oval yüzün kusursuzluğu bu zor stili taşımaya yardımcı olur.
HS25,ovale,straight,4,Klasik karizmanın zirvesi. Düz saçı yüksek hacimle arkaya taramak oval yüzüne güç katar.
HS26,ovale,straight,4,"Düz saçın pürüzsüz yapısını hacimli bir ön tepeyle birleştiren, yüzüne en çok yakışacak modellerden biri."
HS27,ovale,straight,1,Çok katı ve resmi bir görünüm; modern stil dünyasının biraz uzağında kalır.
HS28,ovale,straight,2,"Temiz ve derli toplu bir duruş sergiler ancak görsel bir ""wow"" etkisi yaratmaktan uzaktır."
HS29,ovale,straight,1,"Düz saçlar kontrolsüzce dikilebilir, bu da oval yüzün zarafetini gölgeleyen bir görüntü yaratır."
HS30,ovale,straight,1,"Düz saç yapısında omuz hizası sönük kalmaya meyillidir, yüzün enerjisini aşağı çekebilir."
HS31,ovale,straight,1,Yanların tamamen açılması yüzünü olduğundan daha ince ve sıska gösterebilir.
HS32,ovale,straight,3,Yüzünü tamamen odak noktası yapar; kemik yapına ve oval hatlarına güveniyorsan mükemmeldir.
HS33,ovale,straight,0,"Bu modelin özü olan doğal dalgalar, düz saç dokusunda kendiliğinden oluşmaz."
HS34,ovale,straight,2,"Modern bir tarz ama düz saçta o ""hareketli"" dokuyu korumak için yoğun ürün kullanımı gerektirir."
